Наименование  	Фото  	Состав	Цена	Увлажнение	Питание	Восстановление	Поверхностная	Подходит для кудрявых волос	Есть ли в составе силиконы?	Производство	Комментарий (если средство было в пользовании у меня или у многих учениц)
Likato Professional  KERALESS  Маска для волос с кератином для восстановления ослабленных и поврежденных волос		Aqua, Myristyl Alcohol, Docosyltrimethylammonium Chloride, Butyrospermum Parkii (Shea Butter) Oil (масло ши), Caprylic /Capric Triglycerides, Рropylene Glycol, Olea Europaea (Olive) Fruit Oil (масло оливы), Hydrolyzed Keratin (кератин), Bis-Isopropylamino-PG-Propyl Dimethicone/Bis-Isobutyl PEG-14 Copolymer, Polysorbate-20, Butyloctanol, Panthenol (Д-пантенол), Betaine (бетаин), Aloe Barbadensis Leaf Juice (сок алоэ вера), Anthemis Nobilis (Chamomile) Flower Extract (экстракт цветков ромашки), Echinacea Extract Purpurea (экстракт эхинацеи), Panax Ginseng Root Extract (экстракт женьшеня), Vitis Vinifera Seed Extract (экстракт виноградной косточки), Camellia Sinensis (Green Tea) Leaf Extract (экстракт листьев зеленого чая), Triticum Vulgare (Wheat Germ) Extract (экстракт ростков пшеницы), Salvia Miltiorrhiza Extract (экстракт шалфея мелколистного), Menhta Piperita Extract (экстракт мяты перечной), Olea Europaea (Olive) Extract (экстракт плодов оливы), Lavandula Angustifolia (Lavender) Flower Extract (экстракт цветков лаванды), Tagetes Erecta (Aztec Marigold) Essential Oil (эфирное масло бархатцев), Citrus Limon (Lemon) Fruit Extract (экстракт лимона),  Prunus Persica Fruit Extract (экстракт персика), Rosa Canina Fruit Extract (шиповника сухой экстракт), Hydrolyzed Viola Tricolor Extract (экстракт фиалки), Parfum, Ceteareth-20,  Methylchloroisothiazolinone, Methylisothiazolinone, Citric Acid	Средняя	+	+	+			+	РФ/СНГ	Комплексная маска с пленками
LIMBA Organic Line - AMINOPLASMA МАСКА-АМИНОПЛАЗМА ДЛЯ ВОЛОС		Aqua, Isopentyldiol, Sorbitol, Glutamic Acid, Linum Usitatissimum(Linseed)Seed Oil, Sodium PCA, Beta-Glucan, Sodium Lactate, Hydrolyzed Keratin, Glyceryl Stearate, PEG-100 Stearate, Polyquaternium-68, Cetyl Alcohol, Dipalmitoylethyl Hydroxyethylmonium Methosulfate, Stearyl Alcohol, Arginine, Argania Spinosa(Argan)Kernel Oil, Behenamidopropyl Dimethylamine, Parfum, Benzyl Alcohol, Aspartic Acid, Hyaluronic Acid, PCA, Hydrolyzed Collagen, Hydrolyzed Rice Protein, Hydrolyzed Wheat Protein, Hydrolyzed Silk, Propylene  Glycol, Lactic Acid, Glycine, Alanine, Cetrimonium Chloride, Serine, Ceramides, Valine, Hippophae Rhamnoides(Seaberry)Fruit Extract, Rosa Canina(Rose Hip)Fruit Extract, Triticum Vulgare(Wheat)Germ Extract, Ethylhexylglycerin, Proline, Threonine, Isoleucine, Histidine, Phenylalanine, Tocopherol.	Высокая 	 +	 +	 +		 +		РФ/СНГ	Используется в салонах, но можно и в домашний уход. Prodew® 500 (Продью)
Limba Premium Line Macadamia and Andiroba mask Питательная маска для волос		Aqua, Cetearyl Alcohol, Cetrimonium Chloride, Cyclopentasiloxane, Cyclohexasiloxane, Macadamia Ternifolia Seed Oil, Phenyl Trimethicone, Hydrolyzed Collagen, Behenamidopropyl Dimethylamine, Dipalmitoylethyl Hydroxyethylmonium Methosulfate, Cetyl Alcohol, Stearyl Alcohol, Lactic Acid, Dimethicone, Dimethiconol, Paraffinum Liquidum, Parfum, Triglycerides of Linoleic and Linolenic Acids, Isopropyl Myristate, Tocopheryl Acetate, Retinyl Acetate, Carapa Guianensis (Andiroba) Seed Oil, Benzyl Alcohol, Methylisothiazolinone, Methylchloroisothiazolinone, Camellia Sinensis Leaf Extract, Aloe Вarbadensis Extract, CI 19140, CI 15985, CI 42090, Benzyl Salicylate, Hydroxycitronellal, Linalool.	Высокая 		 +				 +	РФ/СНГ	Комплексная маска с упором на питание 
Liv Delano VALEU Маска		Aqua, Cetearyl Alcohol, Linum Usitatissimum (Linseed) Seed Oil, Behenamidopropyl Dimethylamine, Urtica Dioica (Nettle) Extract,   Sorbitol, Behentrimonium Chloride, Hippophae Rhamnoides Fruit Extract, Persea Gratissima (Avocado) Oil, Betain, Aloe Barbadensis Leaf  Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Hydrolyzed Sweet Almond Protein, Laurdimonium Hydroxypropyl Hydrolysed Wheat Protein (and) Cocotrimonium Methosulphate (and) Hydrolysed Wheat Gluten (and) Sodium Cocoamphoacetate, Zingiber Officionale (Ginger) Root Extract, Hydrolysed Wheat Protein PG-Propyl Silanetriol (and) Panthenol (and) Sodium Cocoamphoacetate,  Bambusa Vulgaris Extract, Hydrolyzed Silk, /Glycine Soja (Soyabean) Oil, Tocoferol, Sphingolipids, PEG-75 Lanolin/, Salvia Officinalis (Sage) Leaf  Extract, Lactic Acid, Parfum, Benzyl Alcohol (and) Methylchloroisothiazolinone (and) Methylisothyazolinone, Linalool. 	Средняя	 +	+	 +		 +		РБ	
Livealoe Máscara Capilar Fortalecedora 		Aloe barbadensis leaf gel, Hibiscus sabdariffa extract, Pereskea acuelata extract, Moringa oleifera extract oil, Bertholletia excelsa seed oil, Theobroma grandiflorum seed butter, Lavandula hybrida oil, Cymbopogon citratus oil, Glycerin, Polyquaternium 67, Lactic acid, Cetearyl alcohol, Cetyl alcohol, Behenamidopropyl Dimethylamine, Guar Hydroxypropyl Trimonium Chloride, Cetrimonium chloride, Potassium sorbate, Water		+	 +					Бразилия	
Londa Professional  Fiber Infusion  Профессиональная восстанавливающая маска		Aqua/Water/Eau, Stearyl Alcohol, Bis-Aminopropyl Dimethicone, Behentrimonium Chloride, Cetyl Alcohol, Panthenol, Isopropyl Alcohol, Phenoxyethanol, Benzyl Alcohol, Parfum/Fragrance, Methylparaben, Limonene, Propylparaben, Disodium EDTA, Linalool, Citronellol, Citric Acid, Alanine, Glycine, Hydrolyzed Keratin, Sorbic Acid	Высокая	+			+		+	ЕС	Можно использовать в качестве пленочного кондиционера 
Londa Professional  VISIBLE REPAIR  Маска для поврежденных волос интенсивная		Aqua,Stearyl Alcohol,Behentrimonium Chloride, Cetyl Alcohol, Bis-Aminopropyl Isopropyl Alcohol,Phenoxyethanol,Benzil Alkohol,Parfum, Methylparaden, Propylparaben,Disodium EDTA,  Hexyl Cinnamal,Benzyl Salicylate, Hydrolyzed Silke ,  Prunus Amygdalus Dulcis  Oil, Propylene Glycol, Astragalus  Gummifer Gum	Высокая				+	+		ЕС	Можно использовать в качестве пленочного кондиционера 
LUMENE Nordic Bloom Color & Vitality Conditioner 		Aqua (Water), Cetearyl Alcohol, Glycerin, Stearamidopropyl Dimethylamine, Glyceryl Stearate, Behentrimonium Chloride, Saccharide Isomerate, Vaccinium Vitis-Idaea (Lingonberry) Seed Oil, Salvia Hispanica Seed Extract, Phenoxyethanol, Citric Acid, Dimethicone, Lauryl Alcohol, Guar Hydroxypropyltrimonium Chloride, Amodimethicone, Myristyl Alcohol, Ethylhexylglycerin, Panthenol, Peg-8, Tocopherol, Propanediol, Quaternium-95, C11-15 Pareth-7, C12-16 Pareth-9, Trideceth-12, Ascorbyl Palmitate, Leuconostoc/Radish Root Ferment Filtrate, Sodium Citrate, Ascorbic Acid, Helianthus Annuus (Sunflower) Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Citronellol, Parfum (Fragrance).	Средняя	+				 +		ЕС	
Marc Anthony Coconut & Shea Nourishing Conditioner		Water, Cetyl Alcohol, Stearyl Alcohol, Dimethicone, Cocos Nucifera (Coconut) Oil, Cetyl Esters, Butyrospermum Parkii Butter, Biotin (Vitamin- B7), Tocopheryl Acetate (Vitamin - E), Panthenol (Vitamin - B5), Hydrolyzed Keratin, Bambusa Vulgaris Shoot Extract, Vitis Vinifera Seed Oil, Arginine, Aspartic Acid, Threonine, Proline, Serine, Phenylalanine, Isoleucine, Valine, Pca, Histidine, Alanine, Glycine, Citric Acid, Propylene Glycol, Cetrimonium Chloride, Behentrimonium Chloride, Sodium Pca, Trideceth-12, Butylene Glycol, Disodium Edta, Amodimethicone, Dehydroacetic Acid, Sodium Lactate, Isopropyl Alcohol, Cyclopentasiloxane, Cyclohexasiloxane, Phenoxyethanol , Benzoic Acid, Sodium Hydroxide, Caramel, Fragrance	Высокая	+	 +					Канада	Prodew® 500 (Продью)
MASIL 8 Seconds Salon Super Mild Маска восстанавливающая для повреждённых волос		Dipropylene Glycol, Myristyl Alcohol, Water, 1,2-Hexanediol, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Salvia Officinalis (Sage) Leaf Extract, Melissa Officinalis Leaf Extract, Mentha Piperita (Peppermint) Extract, Lavandula Angustifolia (Lavender) Flower Extract, Houttuynia Cordata Extract, Eucalyptus Globulus Leaf Extract, Cetrimonium Chloride, Arginine, Leucine, Tryptophan, Lysine, Isoleucine, Threonine, Methionine, Histidine, Asparagine, Alanine, Proline, Glutamic Acid, Glutamine, Glycine, Valine, Phenylalanine, Aspartic Acid, Tyrosine, Serine, Cystine, Glycerin, Hydrolyzed Barley Protein, Hydrolyzed Corn Protein, Hydrolyzed Potato Protein, Hydrolyzed Rice Protein, Hydrolyzed Rice Bran Protein, Hydrolyzed Soy Protein, Hydrolyzed Oat Protein, Hydrolyzed Pea Protein, Hydrolyzed Wheat Protein, Hydrolyzed Sweet Almond Protein, C13-15 Alkane, Fragrance.	Высокая 	 +		 +		 +		Корея 	Может пушить (тогда требует закрытия поверхностным средством)
Matrix Total Results Pro Sol  Тотал Трит крем-маска 		Aqua / water / eau • cetearyl alcohol • behentrimonium chloride • stearyl alcohol • cetyl esters • isopropyl alcohol • parfum / fragrance • methylparaben • glycerin • prunus armeniaca kernel oil / apricot kernel oil • linalool • benzyl salicylate • limonene • chlorhexidine dihydrochloride • butylphenyl methylpropional • hydroxypropyltrimonium hydrolyzed wheat protein • citric acid • hexyl cinnamal • citronellol • benzyl alcohol • alpha-isomethyl ionone (f.I.L. D43804/2)	Высокая				+	+		ЕС	Можно использовать в качестве кондиционера, слабые пленки
Matrix  Unbreak My Blonde  Укрепляющий кондиционер для блонда.		Aqua / Water / Eau, Cetearyl Alcohol, Glycerin, Behentrimonium Chloride, Dimethicone, Bis-cetearyl Amodimethicone, Cetyl Esters, Citric Acid, Isopropyl Alcohol, Dicetyldimonium Chloride, Parfum / Fragrance, Sodium Citrate, Phenoxyethanol, Candelilla Cera / Candelilla Wax / Cire De Candelilla, Isopropyl Myristate, Hydroxypropyl Guar, Coco-betaine, Amodimethicone, Cetrimonium Chloride, Dilauryl Thiodipropionate, Trideceth-10, Limonene, Hexyl Cinnamal, Sodium Chloride, Linalool, Peg-100 Stearate, Citral, Steareth-6, Trideceth-3, Acetic Acid, Trisodium Hedta	Высокая	+			+		+	ЕС	Кислый pH
Matrix  Unbreak My Blonde Total Results Укрепляющий кондиционер для блонда.		Aqua / Water, Cetearyl Alcohol, Glycerin, Behentrimonium Chloride, Dimethicone, Bis-Cetearyl Amodimethicone, Cetyl Esters, Citric Acid, Isopropyl Alcohol, Dicetyldimonium Chloride, Parfum / Fragrance, Sodium Citrate, Phenoxyethanol, Candelilla Cera / Candelilla Wax, Isopropyl Myristate, Hydroxypropyl Guar, Coco-Betaine, Amodimethicone, Cetrimonium Chloride, Dilauryl Thiodipropionate, Trideceth-10, Limonene, Hexyl Cinnamal, Sodium Chloride, Linalool, Peg-100 Stearate, Citral, Steareth-6, Trideceth-3, Acetic Acid, Trisodium Hedta (F.I.L. D261771/2)	Высокая	+			+		+	ЕС	Кислый pH
Matrix Keep Me Vivid Кондиционер 		Aqua / Water (Вода), Cetearyl Alcohol, Amodimethicone, Cetyl Esters, Parfum / Fragrance, Cetrimonium Chloride, Dipalmitoylethyl Hydroxyethylmonium Methosulfate, Mica, Trideceth-5, Phenoxyethanol, Trideceth-6, Glycerin (Глицерин), Benzophenone-4, Ci 77891 / Titanium Dioxide, Trideceth-10, Chlorhexidine Digluconate, Citric Acid (Лимонная Кислота), Benzyl Salicylate, Benzyl Alcohol, Pearl Powder, Acetic Acid (Уксусная Кислота)	Высокая				+			ЕС	
Melange  Balsam  Бальзам кондиционер для волос питательный увлажняющий		Water, Cetyl Stearyl Alcohol, Cetrimonium Chloride, Coconut Oil, Polyquaternium 7, Amodimethicone, Tocopheryl Acetate (Vitamine E), Hydrolyzed Keratin, Betaine, Hydroxyethyl Cellulose, Methylchloroisothiazolinone, Methylisothiazolinone, Citric Acid, Parfum	Средняя				+		+	РФ/СНГ	Просто поверхностный кондиционер с активами 
Miada Beauty Repair Hair Mask		 Aqua, Cocos Nucifera Oil, Cetyl Alcohol, Dibutyl Adipate, Cetrimonium Chloride, Behentrimonium Chloride, Polyquaternium-98, Panthenol, Keratin, PEG-7 Glyceryl Cocoate, Ceramide NP, Ceramide AP, Ceramide EOP, Phytosphingosine, Cholesterol, Sodium Lauroyl Lactylate, Carbomer, Xanthan Gum, Butylene Glycol, Lysine, Histidine, Arginine, Aspartic Acid, Threonine, Serine, Glutamic Acid, Proline, Glycine, Alanine, Valine, Isoleucine, Leucine, Tyrosine, Phenylalanine, Trideceth-12, Amodimethicone, Parfum, Phenoxyethanol, Ethylhexylglycerin, Hydroxyethylcellulose, Guar Hydroxypropyltrimonium Chloride, Tetrasodium EDTA, Limonene, alpha-Isomethyl ionone		+	 +	 +				Турция	
Mielle Organics  Mongongo Oil Hydrating Conditioner - Protein Free		Water (Aqua, Eau), Cetearyl Alcohol, Caprylic/Capric Triglyceride, Ppg-3 Benzyl Ether Myristate, Behentrimonium Chloride, Behentrimonium Methosulfate, C10-40, Isoalkylamidopropyl-Ethyldimonium Ethosulfate, Persea Gratissima (Avocado) Oil, *Organic Prunus Amygdalus Dulcis (Sweet Almond) Oil, *Organic Plukenetia Volubilis, (Sacha Inchi) Seed Oil, *Organic Argania Spinosa (Argan) Nut Oil, *Organic Schinziophyton Rautanenii (Mongongo) Kernel Oil, *Organic Vitis Vinifera (Grape) Seed Oil, Fragrance (Parfum), Phenoxyethanol, Dipropylene Glycol, Butyrospermum Parkii (Shea) Butter, Panthenol, Olea Europaea (Olive) Fruit Oil, Cocos Nucifera (Coconut) Oil, Phyllanthus Emblica (Amla) Fruit Powder, Tocopheryl Acetate, Benzoic Acid, Ethylhexylglycerin, Glycereth-2 Cocoate, Disodium Edta, Citric Acid 	Высокая		 +					США	Есть 18-mea
Mild by nature Rosemary Mint Thickening conditioner 		Вода (Aqua), цетеариловый спирт, кокосовое масло (Cocos nucifera), бегентримония хлорид, стеарамидопропил диметиламин, сок листьев алоэ вера (Aloe barbadensis), глицерин, гидролизованное киноа, бегентримония метосульфат, масло из листьев розмарина (Rosmarinus officinalis), амодиметикон, масло перечной мяты (Mentha piperita), провитамин B5 (пантенол), ПКК глицерил олеат, глюконолактон, бензоат натрия, экстракт плодов ванили (Vanilla planifolia), гидролизованное льняное семя, этиловые эфиры масла ши, масло из ядер арганы (Argania spinosa), фитантриол, изопропиловый спирт, экстракт листьев мушмулы японской (Eriobotrya japonica), витамин В7 (биотин), гидролизованный кукурузный белок, экстракт семян кормовых бобов (Vicia faba), камфора, лимонен, ментол, пропандиол, лимонная кислота.	Средняя	+	+	 +				США	
Milk shake  Integrity intensive treatment		Aqua (Water), Myristyl Alcohol, Cetrimonium Chloride, Propylheptyl Caprylate, Dimethicone, Ethylhexyl Cocoate, Cocos Nucifera (Coconut) Oil, Astrocaryum Murumuru Seed Butter, Hydrolyzed Keratin, Tocopherol, Diazolidinyl Urea, Sodium Benzoate, Potassium Sorbate, Lactic Acid, Glycine Soja (Soybean) Oil, Lactobacillus Ferment, Phenoxyethanol, Parfum (Fragrance)	Средняя		 +				+	ЕС	
MIXIT Collagen & Biotin Восстанавливающий бальзам для волос 		Aqua, Cetearyl Alcohol, Cetrimonium Chloride, Behentrimonium Chloride, Dimethicone, Propylene Glycol, Isopropyl Palmitate, Macadamia Integrifolia Seed Oil, Guar Hydroxypropyltrimonium Chloride, Hydroxyethylcellulose, Soluble Collagen, Biotin, Lactic Acid, Methylchloroisothiazolinone, Methylisothiazolinone, Magnesium Nitrate, Magnesium Chloride, Isopropyl Alcohol, Sodium Benzoate, Disodium EDTA, Parfum, Hexyl Сinnamal, Linalool, Benzyl Salicylate, Limonene.	Средняя	+						РФ/СНГ	Больше поверхностный  на дни легкого ухода
MIXIT Professional Pro Complex Colorization Бальзам 		Вода, спирт цетеариловый, бегентримониум хлорид, циклопентасилоксан, глицерин, диметикон, стеарамидопропил диметиламин, гидроксиэтилцеллюлоза, поликватерниум-37, ппг-3 каприлил этер, силикон кватерниум-16, амодиметикон, силикон кватерниум-22, гуар гидроксипропилтримониум хлорид, гидролизованный пшеничный белок, метикон, поликватерниум-10, карбоцистеин, масло миндальное, гидролизованный рисовый белок, гидролизат коллагена, полиглицерил-3 капрат, этил пальмат, эфир этиловый воска рисовых отрубей, миндат этиловый, масло апельсиновое, кислота гликолевая, кислота молочная, ксилит, парфюмерная композиция, спирт изопропиловый, бутилоктанол, дипропиленгликоль, кокамидопропил бетаин, ундецет-11, ундецет-5, лаурет-7, изолаурет-6, динатрий ЭДТА, бензотриазолилбутилфенолсульфонат натрия, бутет-3, трибутилцитрат, метилхлоризотиазолинон, метилизотиазолинон, нитрат магния, хлорид магния, бензоат натрия, линалоол, гексаметилинданопиран, терпинеол, лимонен, ванилин, гераниол, кумарин.	Средняя	+		 +				РФ/СНГ	
MOCHEQI  Nutrient moisturizing hair treatment  Маска для повреждённых и окрашенных		Aqua, cetearyl alcohol, steartrimonium chloride, dimethicone, cyclopentasiloxane, Bis-aminopropyl dimethicone, glycerin, panthenol, parfum, methylchloroisothiazolinone, methylisothiazolinone.	Высокая				+		+	Китай	Можно использовать в качестве кондиционера
Moist Diane Extra Night Repair Treatment		Water, cetearyl alcohol, dimethicone, triethyl citrate, propanediol, gamma-docosalactone, quaternium-33 , mannitol, glucose, keratin, ethylhexyl palmitate, pouteria sapota seed oil, mangifera indica (mango) seed oil, bis-ethoxydiglycol cyclohexane 1,4-dicarboxylate, isononyl isononanoate, isostearoyl hydrolyzed keratin, glycine soja (soybean) sterols, ceramide ng, argania spinosa kernel oil, ceramide ag, ceramide np, ceramide ap, ceramide eop, bis-behenyl/ isostearyl/ phytosteryl dimer dilinoleyl dimer dilinoleate, carapa guaianensis seed oil, opuntia ficus-indica seed oil, hydrogenated castor oil isostearate, cellulose, sodium lactate, cholesterol, hydrolyzed keratin, hydroxyethylcellulose, hydroxypropyl methylcellulose, glyceryl tri-hydrogenated rosinate, steartrimonium chloride, cetrimonium chloride, dicocodimonium chloride, quaternium-18, behentrimonium chloride , acrylates/ammonium methacrylate copolymer, isopropyl alcohol, propylene glycol, lactic acid, tocopheryl acetate, disodium EDTA, phenoxyethanol, fragrance, talc, iron oxide, mica, titanium dioxide.	Высокая		 +	 +				Япония 	Упор на питание:  сложные липиды эфир жирной кислоты, жирные масла 
Morfose Milk Therapy Butter Miraculous Hair Care Oil		Aqua, Polyquaternium-37, Propylene Glycol Dicaprylate/Dicaprate, C13-15 Alkane, Phenoxyethanol, Cetyl Esters, Stearyl Alcohol, Parfum, Trideceth-6, Ethylhexylglycerin, C11-15-Isoalkanes, Hydroxyethylcellulose, Butyrospermum Parkii Butter, Acrylamidopropyltrimonium Chloride/Acrylamide Copolymer, Cocos Nucifera Seed Butter, Hydrolyzed Keratin, Hydrolyzed Milk Protein, Argania Spinosa Kernel Oil, Mauritia Flexuosa Fruit Oil, Prunus Amygdalus Dulcis Oil, Prunus Armeniaca Kernel Oil, Simmondsia Chinensis Seed Oil, Persea Gratissima Oil, Punica Granatum Seed Oil, Zingiber Officinale Root Oil, Carthamus Tinctorius Seed Oil, Glycine Soja Oil, Helianthus Annuus Seed Oil, Calophyllum Inophyllum Seed Oil, Sodium Acetate, Isopropyl Alcohol, Cellulose, Caprylyl Glycol.	Высокая		+	+				Турция	
Moroccanoil  Restorative Hair Mask  Восстанавливающая для ослабленных и поврежденных волос		Aqua/​Water/​Eau, Cetearyl Alcohol, Argania Spinosa Kernel Oil (Argan Oil), Canola Oil, Butyrospermum Parkii (Shea) Butter, Ceteareth-20, Acetamide Mea, Caryocar Brasiliense Fruit Oil, Steareth-2, PEG-60 Almond Glycerides, Hydrolyzed Vegetable Protein Pg-Propyl Silanetriol, Dmdm Hydantoin, Citric Acid, Behentrimonium Methosulfate, Cetyl Alcohol, Butylene Glycol, Parfum/​Fragrance, Butylphenyl Methylpropional, Linalool, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Behentrimonium Chloride, Isopropanolamine	Высокая		+	+		+		Израиль США	Больше на питание
NatKo Маска для окрашенных волос, для сохранения цвета		Aqua, Behentrimonium methosulfate, Behentrimmonium Chloride, Phospholipids, Glycine Soja (Soybean) Oil, Glycolipids, Glycine Soja (Soybean) Sterols, Hydrolyzed Keratin, Keratin Amino Acids,  Hydrolyzed wheat proteins, Hydrolyzed rye proteins, Hydrolyzed oat proteins, Polyquaternium-10, Glycerin, Simmondsia chinensis, Ceratonia silique seed extract, Hydrolyzed soy protein, Cetyl alcohol, Ceto Stearyl Alcohol, 18MEA (C10-40 Isoalkylamidopropylethyldimonium Ethosulfate, Dipropylene Glycol, Butyrospermum Parkii Butter, Panthenol, Methylchloroisothiazolinone, Linseed oil ethyl esters, Тocopheryl acetate, Retinyl palmitate, Butylated Hydroxytoluene (BHT), Oleic Acid, Linolenic Acid, Stearic Acid, Palmitic Аsid,  Zea mays starch, Polyquaternium-16, Sodium benzoate, Potassium sorbate, Polyquaternium-7, Guar hydroxylpropyltrimonium chloride, Lactic acid, Methylisothiazolinone, Parfume	Высокая		+	+		+		РФ/СНГ	18-МЕА
Novex  Infusao de Colageno  Суперфуд маска для волос 		Aqua, cetearyl alcohol, glycerin, zea mays starch, cetrimonium chloride, butyrospermum parkii butter, glycine soja oil, benzyl alcohol, parfum, alcohol, hydroxyethyl urea, benzoic acid, bht, ceteareth-60 myristyl glycol, hydrolyzed rice bran protein, hexyl cinnamal, kappaphycus alvarezii extract, hydrolyzed soy protein, sorbic acid, linalool, acacia senegal gum, laminaria saccharina extract, butylphenyl methylpropional, d-limonene, lactic acid, glycine, phenoxyethanol, tocopheryl acetate, ethylhexylglycerin, potassium sorbate, sodium benzoate.	Средняя		+			+		Бразилия	
OGX  Nourishing Coconut Milk Conditioner  Питательный кондиционер с кокосовым молоком 		aqua/water/eau, cetearyl alcohol, cetyl alcohol, behentrimonium chloride, glycerin, dimethicone, cocos nucifera (coconut/noix de coco) oil, cocos nucifera (coconut/noix de coco) fruit extract, hydrolyzed milk protein, albumen, hydrolyzed keratin, carthamus tinctorius (safflower/carthame) seed oil, panthenol, ethyl trisiloxane, glycol distearate, glycol stearate, ceteareth-20, tocopheryl acetate, isopropyl alcohol, citric acid, tetrasodium edta, dmdm hydantoin, phenoxyethanol, parfum/fragrance	Высокая	+	+	+			+	США	Комплекс (увл, пит, восст), также есть пленки. Можно использовать как маску
OKOLO  Airlift Volume Rinse		Aqua (Water), Cetearyl Alcohol, Behenamidopropyl Dimethylamine, Cetyl Alcohol, Neopentyl Glycol Dipelargonate, Parfum (Fragrance), Lactic Acid, Benzyl Alcohol, Guar Hydroxypropyltrimonium Chloride, Pentylene Glycol, PPG-26-Buteth-26, Dehydroacetic Acid, Caramel, Propylene Glycol, PEG-40 Hydrogenated Castor Oil, Ethylhexyl Methoxycinnamate, Pyrus Malus (Apple) Fruit Extract, Tartaric Acid, Linalool, Fructose, Citric Acid, Citrus Limon (Lemon) Fruit Extract, Citronellol, Triticum Vulgare (Wheat) Bran Extract, Vitis Vinifera (Grape) Skin Extract, Glycerin, Hibiscus Sabdariffa Flower Extract, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Sodium Citrate, Plankton Extract, Gleditsia Triacanthos Seed Extract, Lamium Album Flower Extract, Panax Ginseng Root Extract, Sodium Hyaluronate, Sodium Benzoate, CI 16035 (Red 40), Polyporus Umbellatus (Mushroom) Extract, Potassium Sorbate.	Высокая 				 +	 +		Швеция 	Не утяжеляет даже тонкие волосы, очень легкое средство
OLLIN Professional Маска профессиональная для волос SALON BEAUTY увлажняющая и восстанавливающая с экстрактом ламинарии 500 мл		Aqua, Cetearyl Alcohol, Propylene Glycol, Myristyl Myristate, Glyceryl Stearate, Behentrimonium Chloride, Isopropyl Alcohol, Dimethiconol, TEA-dodecylbenzenesulfonate, Cetrimonium Chloride, Citric Acid, Sodium PCA, Parfum, Laminaria Saccharina Extract, Magnesium nitrate, Magnesium chloride, Methylchloroisothiazolinone, Methylisothiazolinone, Linalool.	Высокая 	 +					 +	РФ/СНГ	
OLLIN Professional Маска CARE для глубокого увлажнения волос Deep Hydration		Aqua, Myristyl Alcohol, Glyceryl Stearate, Propylene Glycol, Dimethiconol, TEA-Dodecylbenzenesulfonate, Behentrimonium Chloride, Cetrimonium Chloride, Hydrolyzed Wheat Protein, Hydrolyzed Wheat Starch, Citric Acid, Panthenol, Parfum, Magnesium nitrate, Magnesium chloride, Methylchloroisothiazolinone, Methylisothiazolinone, Butylphenyl Methylpropional, Linalool.	Высокая	 +		 +			 +	РФ/СНГ	В большей степени увлажнение
OLLIN Professional  Beauty Family  Бальзам для волос с кератином и протеинами шелка		Aqua, Myristyl Alcohol, Propoxytetramethyl Piperidinyl Dimethicone, Behentrimonium Chloride, Propylene Glycol, Glycerin, Parfum, Cetrimonium Chloride, Na-PCA, Hydrolyzed Keratin, Hydrolyzed Silk, Ethylhexyl Methoxycinnamate, Citric Acid, Magnesium nitrate, Magnesium chloride, Methylchloroisothiazolinone, Methylisothiazolinone, Linalool, Coumarin 	Средняя	+					+	РФ/СНГ	Уважение, другие активы в маленькой концентрации 
OLLIN Professional  Full Force  Кондиционер для восстановления волос тонизирующий с экстрактом пурпурного женьшеня		Aqua, Myristyl Alcohol, Behentrimonium Chloride, Butylene Glycol, Glycerin, Cetrimonium Chloride, Polygonum bistorta Root Extract, Parfum, Citric Acid, Amodimethicone, C11-15 Pareth-7, Laureth-9, Glycerin, Trideceth-12, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Apigenin, Oleanolic Acid, Biotinoyl Tripeptide-1, Linalool, Butylphenyl Methylpropional, Benzyl alcohol, Hexyl Cinnamal, Magnesium nitrate, Magnesium chloride, Methylchloroisothiazolinone, Methylisothiazolinone	Высокая	+				+		РФ/СНГ	Слабые пленки, кудрям можно пробовать, но только если нет проблем с завитком
Oyster Cosmetics Cutinol Rebirth Mask  Кератиновая маска для реконструкции волос		AQUA/WATER, CETEARYL ALCOHOL, CETRIMONIUM CHLORIDE, MYRISTYL ALCOHOL, AMODIMETHICONE, BEHENTRIMONIUM CHLORIDE, HYDROLYZED OAT PROTEIN, HYDROLYZED KERATIN, HYDROLYZED WHEAT PROTEIN, HYDROLYZED SOY PROTEIN, LAURDIMONIUM HYDROXYPROPYL HYDROLYZED SOY PROTEIN, CAPRYLYL GLYCOL, PALMITAMIDOPROPYLTRIMONIUM CHLORIDE, HYDROXYPROPYL GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, BETAINE, TRIDECETH-10, POLYQUATERNIUM-47, PENTYLENE GLYCOL, METHYLPROPANEDIOL, PHENYLPROPANOL, PROPYLENE GLYCOL, ISOPROPYL ALCOHOL, CITRIC ACID, PHENOXYETHANOL, ETHYLHEXYLGLYCERIN, PARFUM/FRAGRANCE.	Высокая 			 +			+	ЕС	
